code_com,code_id,P21_POP,SUPERF,MED21,density,median_income
76319,76319_0002,9726,16.91,21100,6.354652828053242,21100
76319,76319_0003,9726,16.91,21100,6.354652828053242,21100
76319,76319_0004,9726,16.91,21100,6.354652828053242,21100
76319,76319_0005,9726,16.91,21100,6.354652828053242,21100
76319,76319_0006,9726,16.91,21100,6.354652828053242,21100
76319,76319_0007,9726,16.91,21100,6.354652828053242,21100
76319,76319_0008,9726,16.91,21100,6.354652828053242,21100
76319,76319_0009,9726,16.91,21100,6.354652828053242,21100
76319,76319_0010,9726,16.91,21100,6.354652828053242,21100
76320,76320_0001,306,22.44,20200,2.6127400212978853,20200
76321,76321_0001,1746,24.76,21310,4.255853288583152,21310
76321,76321_0002,1746,24.76,21310,4.255853288583152,21310
76322,76322_0001,25975,11.11,20510,7.75704421231589,20510
76322,76322_0002,25975,11.11,20510,7.75704421231589,20510
76322,76322_0003,25975,11.11,20510,7.75704421231589,20510
76322,76322_0004,25975,11.11,20510,7.75704421231589,20510
76322,76322_0005,25975,11.11,20510,7.75704421231589,20510
76322,76322_0006,25975,11.11,20510,7.75704421231589,20510
76322,76322_0007,25975,11.11,20510,7.75704421231589,20510
76322,76322_0008,25975,11.11,20510,7.75704421231589,20510
76322,76322_0009,25975,11.11,20510,7.75704421231589,20510
76322,76322_0010,25975,11.11,20510,7.75704421231589,20510
76322,76322_0011,25975,11.11,20510,7.75704421231589,20510
76322,76322_0012,25975,11.11,20510,7.75704421231589,20510
76322,76322_0013,25975,11.11,20510,7.75704421231589,20510
76322,76322_0014,25975,11.11,20510,7.75704421231589,20510
76322,76322_0015,25975,11.11,20510,7.75704421231589,20510
76322,76322_0016,25975,11.11,20510,7.75704421231589,20510
76322,76322_0017,25975,11.11,20510,7.75704421231589,20510
76322,76322_0018,25975,11.11,20510,7.75704421231589,20510
76322,76322_0019,25975,11.11,20510,7.75704421231589,20510
76322,76322_0020,25975,11.11,20510,7.75704421231589,20510
76322,76322_0021,25975,11.11,20510,7.75704421231589,20510
76322,76322_0022,25975,11.11,20510,7.75704421231589,20510
76322,76322_0023,25975,11.11,20510,7.75704421231589,20510
76323,76323_0001,156,3.95,22130,3.6761404283365064,22130
76324,76324_0001,841,3.13,22930,5.593558655420886,22930
76325,76325_0001,449,8.27,22880,3.9943883787066543,22880
76327,76327_0001,374,2.96,22940,4.839066529078563,22940
76328,76328_0001,376,7.59,23080,3.902757551982356,23080
76329,76329_0001,3074,14.2,21670,5.3774929594913266,21670
76329,76329_0002,3074,14.2,21670,5.3774929594913266,21670
76330,76330_0001,681,2.63,25100,5.556578459959839,25100
76331,76331_0001,1005,3.18,23580,5.75586162370109,23580
76332,76332_0001,459,11.16,20050,3.71671425310738,20050
76333,76333_0001,473,12.46,22440,3.636571875132626,22440
76334,76334_0001,526,6.07,21200,4.461942607666303,21200
76335,76335_0001,84,2.99,s,3.3355434114407183,NA
76336,76336_0001,368,4.39,24860,4.428753711081851,24860
76338,76338_0001,211,3.75,21280,4.030102293493747,21280
76339,76339_0001,261,4.32,21270,4.101265005066675,21270
76340,76340_0001,527,7.48,23490,4.254967756554977,23490
76341,76341_0001,8315,4.21,20130,7.588353743932738,20130
76341,76341_0002,8315,4.21,20130,7.588353743932738,20130
76341,76341_0003,8315,4.21,20130,7.588353743932738,20130
76341,76341_0004,8315,4.21,20130,7.588353743932738,20130
76341,76341_0005,8315,4.21,20130,7.588353743932738,20130
76341,76341_0006,8315,4.21,20130,7.588353743932738,20130
76341,76341_0007,8315,4.21,20130,7.588353743932738,20130
76342,76342_0001,709,9.32,23080,4.331692897834627,23080
76343,76343_0001,189,10.18,19750,2.9213220039372656,19750
76344,76344_0001,440,29.98,21000,2.686244234237855,21000
76345,76345_0001,279,13.15,23170,3.054790023197592,23170
76346,76346_0001,313,7.33,23300,3.754227674641593,23300
76347,76347_0001,343,6.07,26280,4.034371842094533,26280
76348,76348_0001,690,8.53,23270,4.393102236087717,23270
76349,76349_0001,1887,9.46,25170,5.295671162304763,25170
76349,76349_0002,1887,9.46,25170,5.295671162304763,25170
76350,76350_0001,396,2.16,25350,5.211305989558407,25350
76351,76351_0001,166058,46.95,20180,8.171009198249646,20180
76351,76351_0002,166058,46.95,20180,8.171009198249646,20180
76351,76351_0003,166058,46.95,20180,8.171009198249646,20180
76351,76351_0004,166058,46.95,20180,8.171009198249646,20180
76351,76351_0005,166058,46.95,20180,8.171009198249646,20180
76351,76351_0006,166058,46.95,20180,8.171009198249646,20180
76351,76351_0007,166058,46.95,20180,8.171009198249646,20180
76351,76351_0008,166058,46.95,20180,8.171009198249646,20180
76351,76351_0009,166058,46.95,20180,8.171009198249646,20180
76351,76351_0010,166058,46.95,20180,8.171009198249646,20180
76351,76351_0011,166058,46.95,20180,8.171009198249646,20180
76351,76351_0012,166058,46.95,20180,8.171009198249646,20180
76351,76351_0013,166058,46.95,20180,8.171009198249646,20180
76351,76351_0014,166058,46.95,20180,8.171009198249646,20180
76351,76351_0015,166058,46.95,20180,8.171009198249646,20180
76351,76351_0016,166058,46.95,20180,8.171009198249646,20180
76351,76351_0017,166058,46.95,20180,8.171009198249646,20180
76351,76351_0018,166058,46.95,20180,8.171009198249646,20180
76351,76351_0019,166058,46.95,20180,8.171009198249646,20180
76351,76351_0020,166058,46.95,20180,8.171009198249646,20180
76351,76351_0021,166058,46.95,20180,8.171009198249646,20180
76351,76351_0022,166058,46.95,20180,8.171009198249646,20180
76351,76351_0023,166058,46.95,20180,8.171009198249646,20180
76351,76351_0024,166058,46.95,20180,8.171009198249646,20180
76351,76351_0025,166058,46.95,20180,8.171009198249646,20180
76351,76351_0026,166058,46.95,20180,8.171009198249646,20180
76351,76351_0027,166058,46.95,20180,8.171009198249646,20180
76351,76351_0028,166058,46.95,20180,8.171009198249646,20180
76351,76351_0029,166058,46.95,20180,8.171009198249646,20180
76351,76351_0030,166058,46.95,20180,8.171009198249646,20180
76351,76351_0031,166058,46.95,20180,8.171009198249646,20180
76351,76351_0032,166058,46.95,20180,8.171009198249646,20180
76351,76351_0033,166058,46.95,20180,8.171009198249646,20180
76351,76351_0034,166058,46.95,20180,8.171009198249646,20180
76351,76351_0035,166058,46.95,20180,8.171009198249646,20180
76351,76351_0036,166058,46.95,20180,8.171009198249646,20180
76351,76351_0037,166058,46.95,20180,8.171009198249646,20180
76351,76351_0038,166058,46.95,20180,8.171009198249646,20180
76351,76351_0039,166058,46.95,20180,8.171009198249646,20180
76351,76351_0040,166058,46.95,20180,8.171009198249646,20180
76351,76351_0041,166058,46.95,20180,8.171009198249646,20180
76351,76351_0042,166058,46.95,20180,8.171009198249646,20180
